"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@TurasCities that picture looks familiar #turasGI Barking Riverside. Good 2 see the case studies being well received https://t.co/MA03nfc4tZ",FALSE,0,"TurasCities",2015-12-02 13:41:46,FALSE,NA,"672048012189921280","559782521","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",0,FALSE,FALSE,NA,NA
"RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…",FALSE,0,NA,2015-11-27 12:03:28,FALSE,NA,"670211334949232640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urbanlandplan",2,TRUE,FALSE,NA,NA
"RT @UELSRI: Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY…",FALSE,0,NA,2015-11-27 10:38:01,FALSE,NA,"670189829716582400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LukeGreysmith",2,TRUE,FALSE,NA,NA
"Huge congrats @lukegreysmith and @TowerHamletsNow for #LIAwards great to see SUDS guidance brought to life https://t.co/x1JDZiY59u #turasGI",FALSE,2,NA,2015-11-26 16:26:01,FALSE,NA,"669915020445265921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",2,FALSE,FALSE,NA,NA
