text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Test. Parameter geo 2 #factest,FALSE,0,NA,19/06/2014 10:27,FALSE,NA,4.79571E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jmc6609835,0,FALSE,FALSE,NA,NA
Test parameter geo #factest,FALSE,0,NA,18/06/2014 17:01,FALSE,NA,4.79308E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jmc6609835,0,FALSE,FALSE,NA,NA
Tweet parameter 13 #factest,FALSE,1,NA,18/06/2014 16:32,FALSE,NA,4.79301E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jmc6609835,0,FALSE,FALSE,NA,NA
