text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @ghook: Tuesday Travel with Manchán Magan in studio next. Going to Cyprus. http://t.co/GmZxPruRmr  #ntfm,FALSE,0,NA,17/06/2014 17:29,FALSE,NA,4.78953E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NewstalkFM,1,TRUE,FALSE,NA,NA
Tuesday Travel with Manchán Magan in studio next. Going to Cyprus. http://t.co/GmZxPruRmr  #ntfm,FALSE,3,NA,17/06/2014 17:27,FALSE,NA,4.78952E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ghook,1,FALSE,FALSE,NA,NA
Can it be true? Huzzah! RT @NewstalkFM: Danger Mouse to return to TV with new series on BBC http://t.co/vKZj2YBWUF #ntfm,FALSE,0,NA,17/06/2014 16:33,FALSE,NA,4.78938E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnnMarieHardi,0,FALSE,FALSE,NA,NA
"RT @ghook: Next on the Right Hook; bishops &amp; nappies, cyclists &amp; motorists, kids &amp; maths, business &amp; politics. http://t.co/GmZxPruRmr  #ntfm",FALSE,0,NA,17/06/2014 16:14,FALSE,NA,4.78934E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ecurie12,2,TRUE,FALSE,NA,NA
"RT @ghook: Next on the Right Hook; bishops &amp; nappies, cyclists &amp; motorists, kids &amp; maths, business &amp; politics. http://t.co/GmZxPruRmr  #ntfm",FALSE,0,NA,17/06/2014 16:04,FALSE,NA,4.78931E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NewstalkFM,2,TRUE,FALSE,NA,NA
"Farmers create 'hay barricade' at Department of Agriculture protest http://t.co/GWjB3F6fUM #ntfm"" - Ah Jayses' now, that's the last straw.",FALSE,0,NA,17/06/2014 16:01,FALSE,NA,4.7893E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DisparatePost,0,FALSE,FALSE,NA,NA
"Next on the Right Hook; bishops &amp; nappies, cyclists &amp; motorists, kids &amp; maths, business &amp; politics. http://t.co/GmZxPruRmr  #ntfm",FALSE,3,NA,17/06/2014 15:57,FALSE,NA,4.78929E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ghook,2,FALSE,FALSE,NA,NA
"Taoiseach apologises to families over withdrawal of medical cards  http://t.co/EY6eCGtDeV #ntfm"" - Crocodile tears!",FALSE,0,NA,17/06/2014 15:39,FALSE,NA,4.78925E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DisparatePost,0,FALSE,FALSE,NA,NA
"Regulations to be published for councillors to raise or lower property tax http://t.co/JRCn9VIlcr  #ntfm"" - #familyhometax must be abolished",FALSE,0,NA,17/06/2014 15:37,FALSE,NA,4.78924E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DisparatePost,0,FALSE,FALSE,NA,NA
RT @Genbrennan: The history of The Yellow River Flood with @SeanMoncrieff &amp; @graham_finlay #ntfm http://t.co/Csv58HQMqu,FALSE,0,NA,17/06/2014 14:45,FALSE,NA,4.78911E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SeanMoncrieff,2,TRUE,FALSE,NA,NA
The history of The Yellow River Flood with @SeanMoncrieff &amp; @graham_finlay #ntfm http://t.co/Csv58HQMqu,FALSE,1,NA,17/06/2014 14:44,FALSE,NA,4.78911E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Genbrennan,2,FALSE,FALSE,NA,NA
"RT @paraicgallagher: The HSE says Government is giving it €13 million extra funding to cover the cost of restoring the 15,000 discretionary…",FALSE,0,NA,17/06/2014 14:20,FALSE,NA,4.78905E+17,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",ValOD1,1,TRUE,FALSE,NA,NA
"The HSE says Government is giving it €13 million extra funding to cover the cost of restoring the 15,000 discretionary medical cards #ntfm",FALSE,0,NA,17/06/2014 13:00,FALSE,NA,4.78885E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",paraicgallagher,1,FALSE,FALSE,NA,NA
RT @newschambers: A motion picture triumph. The IFA protesters &amp; hay barricade outside Agriculture House on Kildare Street. http://t.co/MNN…,FALSE,0,NA,17/06/2014 12:47,FALSE,NA,4.78882E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MaryMc_31,1,TRUE,FALSE,NA,NA
A motion picture triumph. The IFA protesters &amp; hay barricade outside Agriculture House on Kildare Street. http://t.co/MNN7yN1ckk #ntfm,FALSE,0,NA,17/06/2014 12:27,FALSE,NA,4.78876E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",newschambers,1,FALSE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:58,FALSE,NA,4.78869E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",farmauctionirel,17,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:53,FALSE,NA,4.78868E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",doitinwellies,17,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:50,FALSE,NA,4.78867E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cyclechamber,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:50,FALSE,NA,4.78867E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cyclechamber,15,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:44,FALSE,NA,4.78866E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",charlietaverner,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:28,FALSE,NA,4.78862E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",chasesa,15,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:27,FALSE,NA,4.78862E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",farmersonfilm,15,TRUE,FALSE,NA,NA
RT @newschambers: IFA Eddie Downey says Minister Simon Coveney has sided with factories instead of farmers. #ntfm http://t.co/0tAILbSCQZ,FALSE,0,NA,17/06/2014 11:24,FALSE,NA,4.78861E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",farmersonfilm,3,TRUE,FALSE,NA,NA
RT @newschambers: Livestock farmers man the hay barricade. #ntfm http://t.co/l4RCEXysMs,FALSE,0,NA,17/06/2014 11:23,FALSE,NA,4.7886E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",farmersonfilm,1,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:21,FALSE,NA,4.7886E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",siciowa,17,TRUE,FALSE,NA,NA
RT @newschambers: IFA blockading the Department of Agriculture with bales of hay. Protesting against falling beef prices #ntfm http://t.co/…,FALSE,0,NA,17/06/2014 11:21,FALSE,NA,4.7886E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MsHelenCarroll,17,TRUE,FALSE,NA,NA
RT @newschambers: Hay everywhere on Kildare Street. Gardaí have stopped the farmers' jeep #ntfm https://t.co/zuchF6XNCP,FALSE,0,NA,17/06/2014 11:15,FALSE,NA,4.78858E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",joeohanlon_12,15,TRUE,FALSE,NA,NA
