"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @UELSRI: Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.…",FALSE,0,NA,2016-01-15 07:42:36,FALSE,NA,"687902687753539584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaRoisin",5,TRUE,FALSE,NA,NA
"RT @UELSRI: Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.…",FALSE,0,NA,2016-01-14 22:52:31,FALSE,NA,"687769288799825922",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TurasCities",5,TRUE,FALSE,NA,NA
"RT @UELSRI: Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.…",FALSE,0,NA,2016-01-12 18:25:14,FALSE,NA,"686977248822476801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BurgeJessy",5,TRUE,FALSE,NA,NA
"RT @UELSRI: Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.…",FALSE,0,NA,2016-01-12 16:17:42,FALSE,NA,"686945155329474560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Battyferg",5,TRUE,FALSE,NA,NA
"RT @UELSRI: Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.…",FALSE,0,NA,2016-01-12 15:29:47,FALSE,NA,"686933098345435137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","urbanbiodivers",5,TRUE,FALSE,NA,NA
"Not all greenroofs need to be the same #biomimicry #turasGI.  The @greenroofsuk V&amp;A wetland greenroof looking great! https://t.co/UI5qZn6yC5",FALSE,4,NA,2016-01-12 15:04:43,FALSE,NA,"686926787696324609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UELSRI",5,FALSE,FALSE,NA,NA
